Tempo,MSE,RMSE,MAE,Max_Error,PSNR,SSIM,Delta_E
Iteração 1,0.323,0.5683,0.2734,3.0,53.0389,0.9992,0.4699
Iteração 2,0.6453,0.8033,0.4067,5.0,50.033,0.9988,0.6563
Iteração 3,1.2716,1.1277,0.536,37.0,47.0873,0.998,0.8297
Iteração 4,1.6162,1.2713,0.648,10.0,46.0458,0.9978,0.9689
Iteração 5,2.4602,1.5685,0.7643,72.0,44.221,0.9972,1.1218
Iteração 6,2.9593,1.7203,0.8583,14.0,43.419,0.9968,1.2428
Iteração 7,3.8288,1.9567,0.9564,38.0,42.3002,0.9961,1.361
Iteração 8,6.7667,2.6013,1.0532,255.0,39.827,0.9948,1.477
Iteração 9,6.1135,2.4725,1.1276,105.0,40.2679,0.9947,1.5699
Iteração 10,6.7078,2.5899,1.2035,98.0,39.865,0.9943,1.6658
Iteração 11,7.5357,2.7451,1.2708,94.0,39.3596,0.994,1.7453
Iteração 12,10.7517,3.279,1.3404,196.0,37.816,0.9924,1.8211
Iteração 13,12.6364,3.5548,1.4041,255.0,37.1146,0.992,1.8984
Iteração 14,10.6484,3.2632,1.4486,62.0,37.858,0.9927,1.9563
Iteração 15,27.2721,5.2223,1.5546,255.0,33.7736,0.9842,2.0719
Iteração 16,12.4599,3.5299,1.5445,68.0,37.1757,0.9919,2.0661
Iteração 17,26.4097,5.139,1.6447,255.0,33.9132,0.9853,2.1873
Iteração 18,14.7691,3.8431,1.6322,78.0,36.4373,0.9912,2.1738
Iteração 19,30.9406,5.5624,1.7348,255.0,33.2255,0.9832,2.2884
Iteração 20,18.7582,4.3311,1.7149,255.0,35.3989,0.9899,2.2717
Iteração 21,18.0459,4.248,1.7431,89.0,35.567,0.9902,2.3059
Iteração 22,19.0457,4.3641,1.7836,41.0,35.3328,0.99,2.3564
Iteração 23,20.5865,4.5372,1.8138,98.0,34.995,0.9897,2.3835
Iteração 24,21.5683,4.6442,1.8425,93.0,34.7926,0.9895,2.4205
Iteração 25,26.7147,5.1686,1.9088,255.0,33.8633,0.9877,2.4979
Iteração 26,23.802,4.8787,1.9015,79.0,34.3647,0.989,2.4945
Iteração 27,30.9793,5.5659,1.96,255.0,33.2201,0.986,2.565
Iteração 28,32.1595,5.6709,1.9774,255.0,33.0577,0.9862,2.583
Iteração 29,27.2751,5.2226,1.9768,81.0,33.7731,0.9884,2.584
Iteração 30,29.9575,5.4733,2.0127,255.0,33.3657,0.9874,2.6315
Iteração 31,30.087,5.4852,2.0303,91.0,33.347,0.9878,2.65
Iteração 32,31.348,5.5989,2.0498,106.0,33.1687,0.9876,2.6726
Iteração 33,33.1209,5.7551,2.0751,177.0,32.9298,0.9872,2.7059
Iteração 34,33.9197,5.8241,2.0985,72.0,32.8263,0.9868,2.7356
Iteração 35,35.0448,5.9199,2.1084,109.0,32.6846,0.987,2.7453
Iteração 36,46.0625,6.7869,2.1757,255.0,31.4973,0.9814,2.8226
Iteração 37,46.9557,6.8524,2.1827,255.0,31.4139,0.9822,2.83
Iteração 38,39.9283,6.3189,2.1587,255.0,32.118,0.9858,2.8071
Iteração 39,41.7907,6.4646,2.1853,255.0,31.92,0.9853,2.8388
Iteração 40,41.2954,6.4261,2.1949,86.0,31.9718,0.9862,2.8535
Iteração 41,48.5031,6.9644,2.2274,255.0,31.2731,0.983,2.8864
Iteração 42,44.023,6.635,2.2263,158.0,31.694,0.9856,2.8915
Iteração 43,46.0614,6.7869,2.2398,255.0,31.4974,0.9854,2.9027
Iteração 44,49.3493,7.0249,2.2705,255.0,31.198,0.9841,2.9455
Iteração 45,52.4108,7.2395,2.2792,255.0,30.9366,0.9831,2.9466
Iteração 46,48.9779,6.9984,2.2786,95.0,31.2308,0.9849,2.9542
Iteração 47,51.4568,7.1733,2.2979,255.0,31.0164,0.9842,2.9779
Iteração 48,51.4151,7.1704,2.2996,145.0,31.0199,0.985,2.9781
Iteração 49,53.024,7.2818,2.307,196.0,30.8861,0.9846,2.9892
Iteração 50,54.8907,7.4088,2.3279,255.0,30.7358,0.984,3.0138
