Tempo,MSE,RMSE,MAE,Max_Error,PSNR,SSIM,Delta_E
Iteração 1,0.1284,0.3583,0.1282,2.0,57.0464,0.9997,0.2486
Iteração 2,0.3158,0.562,0.2422,3.0,53.137,0.9995,0.4038
Iteração 3,0.5651,0.7517,0.3403,4.0,50.6092,0.9992,0.5218
Iteração 4,0.8846,0.9405,0.4353,5.0,48.6634,0.9989,0.6363
Iteração 5,1.2555,1.1205,0.5213,6.0,47.1426,0.9986,0.7391
Iteração 6,1.6619,1.2891,0.5965,7.0,45.9247,0.9984,0.8278
Iteração 7,2.1225,1.4569,0.6701,8.0,44.8623,0.998,0.9148
Iteração 8,2.6201,1.6187,0.7375,9.0,43.9477,0.9977,0.9966
Iteração 9,3.1268,1.7683,0.7951,10.0,43.1799,0.9974,1.0614
Iteração 10,3.6895,1.9208,0.8536,11.0,42.4611,0.9971,1.1316
Iteração 11,4.2821,2.0693,0.9082,12.0,41.8143,0.9968,1.1961
Iteração 12,4.8672,2.2062,0.9528,12.0,41.258,0.9965,1.2496
Iteração 13,5.5017,2.3456,1.0009,13.0,40.7258,0.9961,1.3094
Iteração 14,6.1426,2.4784,1.0442,14.0,40.2473,0.9958,1.3603
Iteração 15,6.7797,2.6038,1.082,15.0,39.8187,0.9955,1.4017
Iteração 16,7.4535,2.7301,1.1197,16.0,39.4072,0.9952,1.4454
Iteração 17,8.1616,2.8569,1.1587,17.0,39.013,0.9949,1.4951
Iteração 18,8.8314,2.9718,1.188,18.0,38.6705,0.9945,1.5297
Iteração 19,9.5489,3.0901,1.2187,19.0,38.3313,0.9942,1.5656
Iteração 20,10.2989,3.2092,1.2523,20.0,38.0029,0.9939,1.6071
Iteração 21,10.9991,3.3165,1.2767,21.0,37.7172,0.9936,1.6346
Iteração 22,11.7514,3.428,1.3062,22.0,37.4299,0.9932,1.6673
Iteração 23,12.4485,3.5282,1.3264,23.0,37.1796,0.993,1.6924
Iteração 24,13.2098,3.6345,1.3528,24.0,36.9218,0.9926,1.7242
Iteração 25,13.9547,3.7356,1.3751,25.0,36.6836,0.9924,1.7509
Iteração 26,14.6837,3.8319,1.3951,26.0,36.4625,0.9921,1.7754
Iteração 27,15.4584,3.9317,1.4182,27.0,36.2391,0.9918,1.8056
Iteração 28,16.246,4.0306,1.4419,28.0,36.0233,0.9915,1.8342
Iteração 29,16.9874,4.1216,1.4564,29.0,35.8295,0.9913,1.8546
Iteração 30,17.7905,4.2179,1.477,30.0,35.6289,0.991,1.8778
Iteração 31,18.5797,4.3104,1.4937,31.0,35.4404,0.9907,1.8993
Iteração 32,19.3339,4.397,1.5087,32.0,35.2676,0.9905,1.918
Iteração 33,20.1524,4.4891,1.5264,33.0,35.0875,0.9902,1.9417
Iteração 34,20.9613,4.5784,1.5426,34.0,34.9166,0.9899,1.9598
Iteração 35,21.7305,4.6616,1.5548,35.0,34.7601,0.9897,1.9752
Iteração 36,22.5489,4.7486,1.5698,36.0,34.5996,0.9894,1.9931
Iteração 37,23.3828,4.8356,1.5848,37.0,34.4418,0.9891,2.014
Iteração 38,24.1682,4.9161,1.5951,38.0,34.2984,0.9888,2.025
Iteração 39,25.0011,5.0001,1.6102,39.0,34.1512,0.9885,2.0447
Iteração 40,25.7869,5.0781,1.6207,40.0,34.0168,0.9882,2.0571
Iteração 41,26.6128,5.1588,1.6327,41.0,33.8799,0.988,2.0707
Iteração 42,27.4565,5.2399,1.6456,41.0,33.7444,0.9877,2.0852
Iteração 43,28.2206,5.3123,1.6534,42.0,33.6251,0.9874,2.0952
Iteração 44,29.0721,5.3919,1.6673,43.0,33.496,0.9871,2.1126
Iteração 45,29.9109,5.4691,1.6782,43.0,33.3725,0.9868,2.1269
Iteração 46,30.6666,5.5377,1.6844,44.0,33.2641,0.9866,2.1336
Iteração 47,31.5313,5.6153,1.6968,45.0,33.1434,0.9863,2.1505
Iteração 48,32.3685,5.6893,1.7071,46.0,33.0296,0.986,2.1632
Iteração 49,33.1467,5.7573,1.7123,47.0,32.9264,0.9858,2.1701
Iteração 50,34.0493,5.8352,1.7251,48.0,32.8097,0.9855,2.1868
